"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.98173269709951e-80,0.7938096066043,0.346,0.215,4.5764153174119e-76,"0","SLC40A1"
9.60799887280237e-80,1.20426658326929,0.27,0.156,2.21877517969625e-75,"0","WNT5A"
9.67833426486916e-80,0.258430034573913,0.988,0.972,2.23501773178624e-75,"0","DDX17"
5.31126727881059e-78,0.834899744028333,0.311,0.188,1.22653095269573e-73,"0","ZFP36"
2.35181732970812e-77,0.273738349689597,0.956,0.914,5.43105175949496e-73,"0","BTG1"
7.58226952232221e-77,0.883217746891067,0.373,0.247,1.75097350078987e-72,"0","FAM114A1"
1.64199096324078e-76,0.774744616606382,0.456,0.329,3.79184973141193e-72,"0","UGCG"
2.03431651631231e-76,0.771751811314653,0.405,0.274,4.69784713112001e-72,"0","BLCAP"
5.47911545876453e-76,0.91192389857457,0.359,0.234,1.26529213289249e-71,"0","SERTAD1"
5.77543594899412e-76,0.673929612397836,0.282,0.162,1.33372142370121e-71,"0","NRXN1"
7.76746099115921e-76,0.874314051363569,0.349,0.225,1.7937397666884e-71,"0","PPM1L"
1.73167534037851e-75,0.376426942026943,0.67,0.502,3.99895786353609e-71,"0","CXCL12"
4.35005197725503e-75,0.496319087367254,0.716,0.642,1.0045575031075e-70,"0","TAF7"
1.43712729998862e-74,0.36311593682973,0.843,0.811,3.31875807386373e-70,"0","TCF25"
3.04095030047096e-74,0.954827868993129,0.281,0.166,7.02246652887759e-70,"0","GUCY1B1"
2.43051732765659e-72,0.390270874157308,0.81,0.753,5.61279366475737e-68,"0","ZRANB2"
3.64853690606855e-72,0.7686471533188,0.366,0.239,8.4255662771841e-68,"0","ZCCHC24"
1.55336124787093e-70,0.599596851294141,0.573,0.46,3.58717712970834e-66,"0","ANXA6"
2.17311150344687e-70,0.665751860390287,0.453,0.319,5.01836639490985e-66,"0","NKX2-3"
4.10509574393596e-70,0.723007212977039,0.381,0.252,9.4798976014713e-66,"0","LRRC17"
1.05479732805788e-68,0.463380421120013,0.746,0.697,2.43584346968405e-64,"0","NORAD"
1.56068447409138e-68,0.992582507956113,0.261,0.155,3.60408865601923e-64,"0","TMEM131L"
1.03399013580669e-67,0.799321328901354,0.32,0.202,2.38779342061838e-63,"0","DACT1"
1.82379589901985e-67,0.705492544970265,0.418,0.294,4.21169186960653e-63,"0","MAP1LC3A"
2.91274320718525e-67,0.25425738867114,0.961,0.944,6.72639788835291e-63,"0","BRK1"
8.84743486421682e-67,0.663885139697326,0.461,0.345,2.04313813319359e-62,"0","LNPEP"
2.06192951562423e-66,0.765955717568011,0.408,0.291,4.76161383043104e-62,"0","ARHGEF17"
6.51054567723263e-66,0.383655978712416,0.798,0.753,1.50348031324333e-61,"0","ATXN7L3B"
1.06053330439817e-65,0.571644507388172,0.557,0.439,2.4490895598467e-61,"0","PTPRD"
2.35923268477746e-65,0.99714468685938,0.256,0.153,5.44817603895658e-61,"0","KCNN2"
8.33671520399908e-65,0.454002063557509,0.714,0.646,1.92519764205951e-60,"0","EPC1"
1.54913687169713e-64,0.260696137801374,0.958,0.922,3.57742177781019e-60,"0","ZNF428"
4.06091708285266e-64,0.408559599657577,0.656,0.536,9.37787581943166e-60,"0","NLRP1"
3.14026087429702e-63,0.511206224373533,0.599,0.491,7.25180443701411e-59,"0","SDC2"
2.29637518170461e-62,0.370787155906112,0.811,0.776,5.30301920711045e-58,"0","KRT10"
3.04755350894548e-62,0.792915678317384,0.363,0.25,7.03771531820779e-58,"0","CSAD"
7.51578552877066e-62,0.890210592700426,0.288,0.181,1.73562035215901e-57,"0","ATP10D"
9.71842137134616e-62,0.585194206392854,0.543,0.42,2.24427504728497e-57,"0","PIEZO2"
4.84991371094608e-61,0.88000732244557,0.293,0.188,1.11999057326878e-56,"0","SEC24D"
4.20467018463531e-60,0.45934144159816,0.644,0.535,9.70984485737833e-56,"0","HOXB3"
4.76469201711151e-60,0.291087627679803,0.883,0.835,1.10031032751156e-55,"0","UBE2E3"
6.02010658733783e-60,0.295356816291388,0.858,0.797,1.39022321421392e-55,"0","SERPINH1"
1.07465458829207e-59,0.394615890990939,0.763,0.713,2.48169984074288e-55,"0","C8orf59"
1.10187557230086e-59,0.376926182845503,0.802,0.746,2.54456125911439e-55,"0","TNRC6B"
6.67646295758372e-59,0.358137786433258,0.798,0.757,1.54179559079481e-54,"0","N4BP2L2"
1.53312365148365e-58,0.499968273155391,0.61,0.515,3.5404424483712e-54,"0","MXD4"
1.18780527479302e-57,0.6932065412754,0.446,0.341,2.74299872107953e-53,"0","MAGEH1"
1.59186418973354e-57,0.779813022570414,0.277,0.174,3.67609197335166e-53,"0","RGL1"
3.26771442674065e-56,0.727523898082682,0.341,0.233,7.54613292567217e-52,"0","ITGA1"
3.29975388398092e-56,0.417779112047229,0.679,0.598,7.62012164427714e-52,"0","VAMP2"
3.72031958930515e-56,0.371189975040346,0.76,0.717,8.59133402758238e-52,"0","RAB2A"
7.97545079226719e-56,0.668330383641261,0.386,0.272,1.84177085145826e-51,"0","LRRC4C"
1.7958666999116e-55,0.579422840989148,0.485,0.373,4.14719497010586e-51,"0","PDE3A"
2.72087182393721e-55,0.577006095366739,0.365,0.249,6.2833093030182e-51,"0","GAS1"
