clone.id,cell.barcode
2,20C+10A+1H
2,1A+10A+1H
2,12G+10A+1H
2,20P+10A+1H
2,7B+10A+3A
2,9A+10A+1A
2,20E+10A+1H
2,11A+10A+1H
2,10A+10A+1H
2,10K+10A+1H
2,17D+10A+3A
2,19C+10A+1H
2,7N+10A+1H
2,7G+10A+1A
2,12K+10A+1H
2,5F+10A+1A
2,18K+10A+3A
2,8A+10A+3A
2,5D+10A+1H
2,14N+10A+1H
2,5C+10A+1H
2,12E+10A+1A
2,6N+10A+1H
2,20B+10A+1H
2,17I+10A+1H
2,3E+10A+1H
2,3P+10A+1A
2,1G+10A+3A
2,16P+10A+1H
2,23E+10A+1H
2,20B+10A+3A
2,10E+10A+1H
2,21L+10A+1H
2,13J+10A+1H
2,16F+10A+1H
2,6K+10A+1A
2,15E+10A+1H
2,23B+10A+1H
2,20M+10A+1H
2,5A+10A+1H
2,23G+10A+1H
2,3O+10A+1A
2,16H+10A+1H
2,19N+10A+1A
2,5A+10A+1A
2,6J+10A+3A
2,22C+10A+1H
2,18A+10A+1H
2,14A+10A+1H
2,2C+10A+1H
2,15A+10A+1H
2,4F+10A+1H
2,24K+10A+1H
2,16K+10A+1A
2,17O+10A+1H
2,4B+10A+1H
2,4P+10A+1H
2,4N+10A+1H
2,24H+10A+1H
2,22I+10A+3A
2,16M+10A+1H
2,2H+10A+1H
2,10M+10A+3A
2,15A+10A+1A
2,7H+10A+1H
2,21H+10A+1H
2,12O+10A+1H
2,7F+10A+3A
2,19L+10A+3A
2,2B+10A+3A
2,23D+10A+3A
2,15M+10A+1H
2,11H+10A+3A
2,22H+10A+1A
2,12C+10A+3A
2,2N+10A+3A
2,17A+10A+1H
2,21A+10A+1H
2,20A+10A+1H
2,13D+10A+1H
2,16B+10A+1H
2,23F+10A+3A
2,3M+10A+1H
2,17N+10A+1H
2,17L+10A+1A
2,11J+10A+1H
2,3F+10A+1A
2,24L+10A+1H
2,12B+10A+1H
2,2F+10A+3A
2,7P+10A+1H
2,16K+10A+1H
2,18P+10A+1H
2,10M+10A+1H
2,14L+10A+1H
2,10I+10A+1H
2,11O+10A+1A
2,23A+10A+3A
2,3D+10A+1H
2,6I+10A+1H
2,17L+10A+3A
2,2K+10A+1H
2,19N+10A+1H
2,16G+10A+1H
2,3H+10A+1H
2,16I+10A+1A
2,14M+10A+1H
2,22L+10A+1H
2,13C+10A+1H
2,14P+10A+1H
2,13A+10A+1H
2,19E+10A+1H
2,5G+10A+1H
2,19F+10A+1H
2,19B+10A+1H
2,19O+10A+1A
2,23C+10A+1H
2,11L+10A+1H
2,19I+10A+1H
2,19K+10A+1H
2,9L+10A+1H
2,8H+10A+1A
2,3F+10A+1H
2,10O+10A+1H
2,14O+10A+1H
2,3L+10A+1H
2,10L+10A+1H
2,2J+10A+3A
2,9N+10A+1H
2,12F+10A+1H
2,22A+10A+1H
2,2O+10A+3A
2,14D+10A+1H
2,20K+10A+1H
2,1B+10A+1A
2,24F+10A+1H
2,22H+10A+3A
2,10P+10A+1H
2,24C+10A+1H
2,10C+10A+1H
2,5O+10A+1H
2,13I+10A+1H
2,6M+10A+1H
2,21I+10A+3A
2,17G+10A+1H
2,11H+10A+1H
2,1E+10A+1H
2,24D+10A+1H
2,8G+10A+1H
2,9C+10A+3A
2,8K+10A+1H
2,15O+10A+1H
2,6D+10A+1H
2,15P+10A+1A
2,19J+10A+1H
2,8M+10A+3A
2,15L+10A+3A
2,23F+10A+1H
2,20I+10A+1H
2,11A+10A+1A
2,9M+10A+1H
2,2L+10A+1H
2,1G+10A+1H
2,17F+10A+1H
2,4J+10A+3A
2,13G+10A+1H
2,21C+10A+1H
2,1L+10A+1H
2,23L+10A+1A
2,10N+10A+3A
2,9O+10A+3A
2,2E+10A+1H
2,5I+10A+1H
2,22O+10A+1H
2,12F+10A+3A
2,15N+10A+1H
2,1L+10A+1A
2,9G+10A+1H
2,17H+10A+1A
2,6C+10A+1H
2,20F+10A+1H
2,22J+10A+1H
2,21G+10A+1H
2,14H+10A+1H
2,8I+10A+1H
2,2J+10A+1H
2,12C+10A+1H
2,7I+10A+1A
2,3C+10A+1H
2,22G+10A+3A
2,6I+10A+3A
2,18O+10A+1H
2,6D+10A+1A
2,23J+10A+1H
2,10N+10A+1H
2,3J+10A+3A
2,8C+10A+1H
2,15G+10A+1H
2,14P+10A+3A
2,8D+10A+1A
2,21K+10A+1H
2,15C+10A+1H
2,4K+10A+1H
2,8B+10A+1H
2,9C+10A+1H
2,5H+10A+1H
2,10B+10A+1H
2,21M+10A+1H
2,21B+10A+1H
2,14K+10A+1H
2,19I+10A+3A
2,23P+10A+1A
2,7A+10A+1H
2,9A+10A+1H
2,1J+10A+1H
2,6F+10A+1H
2,13O+10A+1H
2,22E+10A+1A
2,6E+10A+1H
2,5N+10A+1H
2,8E+10A+1H
2,6J+10A+1H
2,10H+10A+1H
2,17K+10A+1H
2,11F+10A+1H
2,21N+10A+1A
2,3N+10A+1A
2,2G+10A+1H
2,10P+10A+3A
2,1F+10A+1H
2,1B+10A+1H
2,19A+10A+1H
2,21I+10A+1H
2,9M+10A+1A
2,12L+10A+1H
2,1P+10A+1H
2,9I+10A+1H
2,14J+10A+1H
2,4A+10A+1H
2,16L+10A+1H
2,18C+10A+1H
2,3G+10A+1H
2,3I+10A+3A
2,13L+10A+1H
2,20N+10A+1H
2,19G+10A+1H
2,9H+10A+1A
2,6L+10A+1A
2,7L+10A+1H
2,2P+10A+1H
2,18G+10A+3A
2,22N+10A+1H
2,21E+10A+1H
2,14E+10A+1H
2,8H+10A+1H
2,10F+10A+1H
2,19M+10A+1H
2,21N+10A+1H
2,9F+10A+1H
2,13M+10A+1H
2,7I+10A+1H
2,7E+10A+1A
2,19L+10A+1H
2,24J+10A+1H
2,24M+10A+1H
2,16A+10A+1H
2,7G+10A+1H
2,4E+10A+1H
2,13B+10A+1H
2,6B+10A+1H
2,6A+10A+1H
2,6A+10A+1A
2,1D+10A+1H
2,11P+10A+1H
2,15J+10A+3A
2,15O+10A+1A
2,4D+10A+3A
2,16I+10A+1H
2,18I+10A+3A
2,24O+10A+1H
2,5K+10A+1H
2,14I+10A+1H
2,18J+10A+1H
2,18K+10A+1H
2,8M+10A+1H
2,20L+10A+1H
2,4J+10A+1H
2,20O+10A+1H
2,9O+10A+1H
2,7H+10A+1A
2,17P+10A+1H
2,22P+10A+1H
2,15J+10A+1H
2,23A+10A+1H
2,1N+10A+1H
2,22H+10A+1H
2,12N+10A+1H
2,16H+10A+1A
2,19H+10A+1H
2,1B+10A+3H
2,16K+10A+3H
2,4N+10A+3H
2,22N+10A+3H
2,16M+10A+3H
2,9B+10A+3H
2,10B+10A+3H
2,22C+10A+3H
2,10F+10A+3H
2,24D+10A+3H
2,20O+10A+3H
2,15F+10A+3H
2,4J+10A+3H
2,4B+10A+3H
2,17F+10A+3H
2,24L+10A+3H
2,7M+10A+3H
2,14K+10A+3H
2,17B+10A+3H
2,20G+10A+3H
2,11F+10A+3H
2,12M+10A+3H
2,15G+10A+3H
2,19P+10A+3H
2,17A+10A+3H
2,2K+10A+3H
2,12L+10A+3H
2,8G+10A+3H
2,3F+10A+3H
2,21F+10A+3H
2,24F+10A+3H
2,6I+10A+3H
2,19B+10A+3H
2,10K+10A+3H
2,17O+10A+3H
2,22B+10A+3H
2,6J+10A+3H
2,11K+10A+3A
2,24H+10A+3H
2,6B+10A+3H
2,22G+10A+3H
2,19A+10A+3H
2,9G+10A+3H
2,18J+10A+3H
2,13G+10A+3H
2,14O+10A+3H
2,4F+10A+3H
2,7D+10A+3H
2,9L+10A+3H
2,10H+10A+3H
2,12P+10A+3H
2,21B+10A+3H
2,15J+10A+3H
2,13D+10A+3H
2,14E+10A+3H
2,9H+10A+1H
2,22M+10A+3H
2,13A+10A+3H
2,13O+10A+3H
2,12I+10A+3H
2,17M+10A+3H
2,22L+10A+3A
2,17F+10A+3A
2,12N+10A+3H
2,5L+10A+3H
2,4C+10A+3H
2,23N+10A+3H
2,21A+10A+3H
2,10P+10A+3H
2,19L+10A+3H
2,4E+10A+3H
2,4M+10A+3H
2,24P+10A+3H
2,16O+10A+3H
2,17D+10A+3H
2,23K+10A+3H
2,7F+10A+1H
2,8P+10A+3H
2,18L+10A+3H
2,9M+10A+3H
2,13F+10A+3H
2,21J+10A+3H
2,1A+10A+3H
