"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"XKR41",3.42100979118294e-05,2.05904758991682,0.154,0.04,0.803492569655137,"12","XKR4"
"HMCES",3.42561316331815e-05,2.59483724865627,0.096,0.018,0.804573763668533,"12","HMCES"
"LNCAROD",3.75672095898333e-05,2.6413798345933,0.096,0.018,0.882341051636414,"12","LNCAROD"
"DNAH9",3.78410384223326e-05,2.17979974937743,0.154,0.04,0.888772469425326,"12","DNAH9"
"AL353595.1",3.80458886076471e-05,2.42818737924682,0.115,0.025,0.893583785727808,"12","AL353595.1"
"TPK1",3.88499411438343e-05,2.37665707860674,0.115,0.025,0.912468567645235,"12","TPK1"
"LIX1L-AS1",4.05972344576924e-05,3.98715467143503,0.038,0.003,0.953507245707822,"12","LIX1L-AS1"
"FANCD2OS",4.05972344576924e-05,3.98715467143503,0.038,0.003,0.953507245707822,"12","FANCD2OS"
"MIR4280HG",4.05972344576924e-05,3.98715467143503,0.038,0.003,0.953507245707822,"12","MIR4280HG"
"AC083973.1",4.05972344576924e-05,3.98715467143503,0.038,0.003,0.953507245707822,"12","AC083973.1"
"ANXA13",4.05972344576924e-05,3.98715467143503,0.038,0.003,0.953507245707822,"12","ANXA13"
"C16orf971",4.05972344576924e-05,3.98715467143503,0.038,0.003,0.953507245707822,"12","C16orf97"
"LINC02864",4.05972344576924e-05,3.98715467143503,0.038,0.003,0.953507245707822,"12","LINC02864"
"CCDC151",4.05972344576924e-05,3.98715467143503,0.038,0.003,0.953507245707822,"12","CCDC151"
"AL031595.31",4.05972344576924e-05,3.98715467143503,0.038,0.003,0.953507245707822,"12","AL031595.3"
"COMETT",4.05972344576924e-05,3.98715467143503,0.038,0.003,0.953507245707822,"12","COMETT"
"THSD7A",4.11293120462788e-05,2.29683917056765,0.154,0.041,0.96600415203095,"12","THSD7A"
"ABCC3",4.17001713745396e-05,2.8828180116203,0.077,0.012,0.979411925073811,"12","ABCC3"
"AC110992.11",4.17831347768952e-05,3.31472932946354,0.058,0.007,0.981360486504937,"12","AC110992.1"
"SLC25A30",4.17831347768952e-05,3.31472932946354,0.058,0.007,0.981360486504937,"12","SLC25A30"
"AL672310.11",4.18345507881836e-05,2.8828180116203,0.077,0.012,0.982568094362067,"12","AL672310.1"
"WSCD21",4.20420278706735e-05,3.25923421687183,0.058,0.007,0.987441108598508,"12","WSCD2"
"AP003086.12",4.28001317361128e-05,2.81722966999272,0.096,0.018,1,"12","AP003086.1"
"AC243964.3",4.42752904262546e-05,2.57776373529733,0.115,0.025,1,"12","AC243964.3"
"AC022558.2",4.51306478441916e-05,3.12917367630746,0.077,0.013,1,"12","AC022558.2"
"DRAIC",4.54368233667678e-05,2.36824483879054,0.115,0.025,1,"12","DRAIC"
"MACROD21",4.62763777698143e-05,1.39509111433873,0.442,0.229,1,"12","MACROD2"
"AC015522.11",4.7887757065876e-05,2.89969183018469,0.077,0.013,1,"12","AC015522.1"
"PIK3R52",4.7887757065876e-05,2.89969183018469,0.077,0.013,1,"12","PIK3R5"
"CFAP20DC-AS1",4.80401322773985e-05,2.8828180116203,0.077,0.013,1,"12","CFAP20DC-AS1"
"AL606489.1",4.81891537561462e-05,2.55252644379831,0.115,0.025,1,"12","AL606489.1"
"AC010343.31",4.81891537561462e-05,2.55252644379831,0.115,0.025,1,"12","AC010343.3"
"GTF2A1L",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","GTF2A1L"
"C3orf84",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","C3orf84"
"ABCC5-AS1",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","ABCC5-AS1"
"AL391538.1",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","AL391538.1"
"AL591135.2",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","AL591135.2"
"AL357315.1",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","AL357315.1"
"IL20RA",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","IL20RA"
"AC004973.1",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","AC004973.1"
"AC105180.1",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","AC105180.1"
"LGALS12",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","LGALS12"
"TREH",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","TREH"
"IFIT2",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","IFIT2"
"OPALIN",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","OPALIN"
"MFAP5",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","MFAP5"
"AL139317.1",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","AL139317.1"
"AL357153.1",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","AL357153.1"
"AC084756.1",4.97005149820131e-05,5.17979974937743,0.019,0.001,1,"12","AC084756.1"
